PC1,PC2,PC3,Label
-5629.2817722469845,307.920776376395,-10.08891346419713,Images
645.2204298363777,2933.8350863775704,-2030.740974969142,Images
2771.126517879254,-2965.7443504616836,-662.5923262840769,Images
-376.24826278926673,-2580.9686851315187,-3962.201242667914,Images
1673.2998175681573,930.4742396179213,194.86288358011726,Images
-2324.8166219364202,1338.402174724384,-2539.484710925178,Images
205.28683699078212,-880.8040005624708,1803.1854548734152,Images
-3850.7986263871157,-655.6586569797194,-44.599922435468756,Images
3323.4981124852693,-1594.1496267519663,-489.81032746053626,Images
1062.298006801374,-431.6256952498053,-633.6060146859942,Images
-3467.031579947083,-957.2126022329142,-1211.3183507079457,Images
-835.2257521733547,534.6200208971397,268.0175067628071,Images
2507.994274199339,-876.217717525606,595.7416721255337,Images
3459.536928554359,-1479.3656958067559,1779.4942707360367,Images
4131.591088777279,872.6669385148218,-232.4897402656718,Images
-2499.9422177106217,1511.317769247406,98.79931383061073,Images
279.44364384368123,-1609.563687430132,160.2284837520375,Images
-3957.3279949692414,-2405.8408038951443,-423.471119641852,Images
531.5234829030323,-1578.5471765745458,3072.337440569146,Images
1479.521158087767,-940.2583551220375,-721.1680063352519,Images
-6031.243096033311,-1506.5345380004114,47.353477179699134,Images
-1798.7747530287857,2918.8486693381187,260.5569264308793,Images
147.63661552209066,3382.543019126316,1326.9715375833373,Images
4243.03011520521,86.31728507768113,3401.2847759096744,Images
-4596.721980933475,-1133.9176302683536,-38.85106948008532,Images
-6642.793405199302,-1126.3370794785958,-409.32110953545975,Images
-2933.997648328342,-187.56126500709524,551.3191269160238,Images
7170.470547845316,-1334.5034658424806,2117.5148852248435,Images
2539.1048175005335,2377.1481607219466,-1291.6069553141324,Images
-1006.795444724411,-2273.741441502033,524.3392608728885,Images
-5122.36048708775,2396.2927948609085,-320.6428280657716,Images
-72.12542745809245,2886.9102397018005,-1764.53000363965,Images
1210.8491944388513,-5465.261511879065,-307.4701928416353,Images
-5196.737478606623,2072.913446610344,-411.0532973480709,Images
471.8554420653633,-1205.2835958871763,-194.75068681247467,Images
-4294.939222555479,3558.25023925379,1243.7073599303164,Images
-1062.4781739494467,1794.4500498522432,-1481.8200342317643,Images
786.3166335897895,-491.9404567960818,1427.7188133970337,Images
8607.895960082198,2778.7239326657927,1079.097181174723,Images
303.36112268619945,4344.142631079641,1281.7743128758855,Images
1768.2713864554032,-3049.0778221737196,2780.7801917598663,Images
-2945.8940623831973,972.6922843676758,-1469.8343403414415,Images
480.536688110298,539.4508392433247,-556.2857412812007,Images
-3665.7391389620548,-2954.9862840659084,4224.099177341071,Images
5321.470304467252,-1566.6846776099737,3245.534372699269,Images
765.9865868646085,1040.6169689921303,-273.10902880495763,Images
-2039.851289985464,657.5190684955977,-2546.7867369405676,Images
2303.1882571986616,1863.8573523044497,-431.3198881056339,Images
5493.355967078771,-927.2582508463121,2496.7216166672965,Images
-678.6463356825143,830.28345247054,551.8458459577276,Images
-383.54372235757984,1855.4500317421678,913.8069822023538,Images
-2274.9100522163644,-50.18836714455602,-646.2290539897937,Images
1549.2800904294816,1779.08061326611,-1174.2746823309449,Images
-218.49233290116013,-191.5057561997583,256.07252709959846,Images
-7422.9526979765305,941.1128196189742,-293.86743910919427,Images
771.229953821073,2533.914256722498,-1071.456276095155,Images
-1788.9666350269601,5248.417168369111,2205.192007421115,Images
-1543.2886655656916,-17.217648178608695,4110.442397940127,Images
244.2276281901776,1813.6525724740156,-928.731812611674,Images
2039.4853126998212,-352.543829581976,-126.34980202538041,Images
